text,label
"Right. And ""pussy grabbing""  is also a common form of greeting in your world, no doubt. But out in the real world kissing and grabbing a person's genitals without their permission and/or consent is a crime.",1
"I am not sure about Canadas chances of an equal trade deal with Mexico.  The economies are too different, wages, standards, costs of production, corruption in Mexico from the top down etc etc.  When someon in Canada is making $5K a month for a job that can be done for 500 bucks a month in mexico the playing field is always slanted towards Mexico and Canada will lose out.",0
"It was one of my great peeves that I was a licensed Captain with a comprehensively equipped and superbly maintained 36' twin-engine boat, and at least until the cruise ship season got busy I could count on getting boarded and inspected every time I left Auke Bay.   That didn't bother me so much, but the fact that I watched 16 - 20 foot open skiffs with 8-10 people aboard and not a PFD in sight pulling out without the slightest attention from the Coast Guard bothered me a lot.
Sorry, folks, but anybody carrying six people in an open boat in those waters is a reckless fool.   If you drown after going overboard, you weren't wearing a PFD.   I don't know that the people who died brought it on themselves, but if not the Captain killed them with his lack of skill and attention.  If you take people on your boat, their lives are your responsibility.",0
"While Muslims excoriate us about supposed Islamophobia, we should bear in mind Islam's entrenched xenophobia, homophobia, misogyny, Judeophobia and antisemitism, , Christophbia, Europhobia, Americanophobia, democraceaophobia,  iconoclasm, and even Islamophobia against each other. Ancient tribal  wars of extermination between Kurds, Shiite, Sunni, Wahhabi, Druze and other Islamic sects are worse than anything expressed in the west, even by Trump",1
"Seriously, Reg Guard? You're going to name names and the trauma that will inflict on the individual? Especially when the dude's name ain't available?

What's next, scarlette lettering? Have some $%@%ing class and mercy. I took a journalism ethics class in college. You don't gain clicks by naming the person. You just do harm.

Screw you, Chelsea Gorrow. I don't know the young lady involved here, so YOURS is the name that I'll remember after this. You could have made the other choice rather than trying to fucking scar some poor 18 year old. It's a funny story without the name.",1
"I think you and Mr. Benson have a lot in common. FYI, toothbrushes and toothpaste are sold in village stores, given away by health clinics and are even handed out for trick or treat by many people in Bush Alaska. 

Any idea how little pop or chips will fit in a Bush plane?  Not much.  Now you might see a pallet of pop going to a regional Hub, such as Nome, Kotzebue or Bethel. 

Ever see a semi unload pallets of chips and snacks in town?  Ever see those big Pepsi, Coke and Energy drink trucks deliver to every gas station, store and gift shop on the road system?
Ever see all those soda fountain machines in town that offer large, extra large and super large cups?
Ever see those mountains displays of pop in Fred Meyers and Safeway?

Have a nice day.",0
"So according to the Globe's own observational records, less than one percent of readers even LOOK at the comments sections. Take into account the manipulated trolls and other crazies, and it's easy to see how these forums become a cesspool of negativity and bile, that bear almost zero relationship to views expressed and shared in the wider Canadian population.

No wonder reasoned debate has disappeared, facts have no value and idiocy and petulance rule.

A perfect breeding ground for bottom feeders like Trump and his acolytes.",1
We must build a wall to keep these transgendered sheep-lovers from invading the Homeland and forcing their boiled food on us!,1
"All Republicans and Trumperatti take note. Someone finally had the guts to stand up to this clown who thinks the US government is his own personal sandbox.
The Republicans are the same people that went after Bill Clinton for lying, but they haven't seen anything about Trump that concerns them.
The GOP will support anything that Trump does, no matter how stupid. 
If Trump actually did something so stupid that they couldn't possibly possibly support it, they'd say it didn't happen.",1
"Yeah....living in the past is the ""proper context."" ROFL   If I knew nothing about the situation and read your comments, my first reaction would be...""Sounds like a lack of discipline by the coaching staff."" 

At what point do you put any responsibility on the coaching staff who kept giving him those second chances while he continued to, in your words, ""betray his teammates & coaches, as well as Duck fans?""  He clearly was never given a ""one more and your done"" ultimatum(see Mark Helfrich) UNTIL Taggart did so. Carrington is ""guilty"" for his choices but he was enabled by the coaches.

Chip Kelly used to say, ""What you accept in practice you can expect to see in games."" Translation: What you accept in a player's off the field behavior you can expect to continue.

I am thankful YOU are not the coach of the Ducks because based on what you DID NOT write it is clear as a coach you would not hold yourself accountable for implementing any sort of team / player discipline. Just blame players.",0
"You’d think that if Trump were as rich as he claims to be that he could pay his own legal bills.
President Donald Trump’s attorneys in the probe of Russian election interference are being funded in part through a Republican Party account with a handful of wealthy donors—including a billionaire investor, a property developer seeking U.S. government visas and a Ukrainian-born American who has made billions of dollars doing business with Russian oligarchs.
☭
The Republican National Committee, through an account typically used for its own legal bills, paid more than $300,000 last month to help cover Mr. Trump’s private legal fees, according to filings with the Federal Election Commission.
The fund has also paid another nearly $200,000 to lawyers for the president’s eldest son, Donald Trump Jr.
If you donated to the Republican Party, ...you're footing the bill for traitors.
Winning.",0
"Junior said the budget will balance itself .... there must be lots of  money in Junior's la-la land of unicorns and rainbows and self balancing fiscal budgets.
I am amazed (still) that folks voted for this empty shirt and thought it could possibly end well.",0
"Another outright lie from McConnell. McConnell talks conservative and promises Obamacare repeal when he runs for office, then after he wins--he stabs his constituency in the back. What a brazen liar!!!",1
"""With Bannon gone, who is left to help the president shepherd his agenda through the establishment morass that wants to sink it?""

Bannon makes a lousy shepherd. 
Trump has accomplished almost nothing since January.
It's a good time to be a wolf.",0
"You just lost the argument because, instead of telling him where he's wrong, you offered merely a personal attack.  God can make ipse dixit arguments.  John Hobson, not so much.",0
How can  group of 5.2 million Scots survive in a world economy?,0
"Delta, Alaska and Air Canada all serve Seattle to Victoria..... none of whom are likely to stop by.",0
"I love the look of Kaimuki.  Old buildings, fascinating stores and shops, great restaurants and a sense of place.  Thanks Courtney for doing this piece.  We need to appreciate what we have.  I get very upset every time I venture into Kakaako.  The little houses and shops are being replaced by huge, sterile looking  high rises.  There is not much character left there.  Thank goodness for Kaimuki.",0
maybe maybe not but so what? more customers say in europe for our oil is a great thing!  hopefully we will continue to use our great resource for all of canada's benefit not falling for the sky is falling man carbon scare tactics,0
Now I know what allie's problem is. She reads the fake news.,0
"So move to Soldotna and elect a rational assembly member, man. You can listen in to the meetings if you want from the borough website or either Kenai or Homer's radio station. The vast majority of the people that care enough to testify agree with you, but somehow or other they've elected a plurality of idiots.",1
White people need to raise their children better.,1
